"","VIP","Coefficient"
"discount_rate",2.13661557782807,78786.4589797122
"var_CV",0.0480258468883367,1770.92522169112
"var_CV_high",0.22217093356153,8192.42418953215
"chance_inaccurate_forecast_i1",0.261070530966654,-9626.82425994704
"chance_inaccurate_forecast_i234",0.227135502123181,8375.48977296857
"chance_inaccurate_forecast_extreme_cold_i1234",0.0811494310829231,2992.33815834145
"chance_inaccurate_forecast_extreme_drought_i1234",0.0947372432929749,-3493.38084492502
"met_station_esta_i1",0.133603974548354,4926.56899514915
"met_station_main_i1",0.0676809057930562,2495.69410768542
"cost_forecasts_access_i1",0.124878018072061,4604.80441610536
"cost_weekly_forecasts_i1234",0.0728512872269901,2686.34892129873
"cost_seasonal_forecasts_i1234",0.0518166467667865,1910.70876638819
"cost_cb_translation_staff_i1234",0.0756470591534598,-2789.44138794888
"cost_cb_commune_i1234",0.0137387113946598,506.607006408606
"leftlet_year1_i1234",0.0120725340476388,445.167684068065
"village_meeting_launch_i1234",0.0129170968359702,476.310446560841
"video_i1234_peryear",0.0883143604481754,-3256.5407689495
"cost_print_seasonal_bulletinA0_i1234",0.181820107817825,-6704.51091667021
"cost_per_SMS_i123",0.0283549670135866,-1045.57294661211
"messages_per_time_rice_i123",0.0312497005655616,-1152.31456574872
"number_times_per_year_rice_i123",0.0107875845352263,-397.785916799664
"baseline_farm_households_i1234",0.0999341565461511,-3685.01400396934
"baseline_households_i1234",0.208988255125496,-7706.32057565739
"household_increase_rate",0.109065242826097,-4021.71750931703
"messages_per_time_animal_i123",0.0217511089886735,802.059515938469
"number_times_per_year_animal_i123",0.0212542881054637,783.739534308895
"percent_animal_households_i1234",0.19523536682988,-7199.19080425668
"allowance_village_leader_permonth_loud_i34",0.122512115741171,4517.56314122328
"percent_short_distance_i4",0.108695973875183,4008.10093113815
"model_training_i1234",0.241660671483959,-8911.09696028471
"model_monitor_i1234",0.0414181662241574,-1527.27083341385
"field_visit_i1234",0.136077538182489,5017.78021808356
"SAA_TOT",0.0944932936345586,-3484.38534290052
"dialogue_village",0.0741581397381293,-2734.53834892897
"cost_community_event",0.102529132743686,-3780.70224469078
"ME_district_i1234",0.0563744172835092,-2078.77390809222
"ME_commune_i1234",0.116414094440891,4292.70214609737
"rice_area_drought_i1234",0.0209791440719872,773.593757814536
"chance_drought_i1234",0.176869288407044,-6521.95232518976
"reduce_loss_drought_i1234",0.211923453706088,7814.55431923149
"rice_profit_no_drought",0.35215404861545,-12985.4760929827
"seed_baseline_i1234",4.53467697242784,-167213.580665553
"seed_applied_i1234",2.67875530424364,98777.5466417859
"seed_advice_i1234",0.187952348569674,-6930.63373420597
"price_seed_i1234",0.682135689379342,-25153.3575190511
"labor_pick_i1234",1.29064684770104,-47591.8531994692
"rate_seed_inno_i1",0.00783551952392265,-288.930233385176
"rate_seed_imitation_i1",0.0973943603529407,-3591.36049387156
"rate_seed_inno_i2",0.151150651723999,5573.5925289448
"rate_seed_imitation_i2",0.186007691510332,-6858.92563415026
"rate_seed_inno_i3",1.6639291610487,-61356.4217880375
"rate_seed_imitation_i3",0.587287040587274,-21655.8686610255
"rate_seed_inno_i4",0.0114637764976671,422.720102838601
"rate_seed_imitation_i4",0.183188384318715,-6754.96531826167
"rate_saturated_i12",0.136389515331085,-5029.28419431381
"rate_saturated_i34",0.0836107285192175,-3083.0970723519
"dis_adoption_i123",0.691251065109252,25489.4817069872
"dis_adoption_i4",0.00248304739127729,91.5609309730924
"effective_rate",4.62642318173843,-170596.66886888
"chance_resow_i1234",0.0930475078983287,-3431.07283325538
"chance_resow_advice_i1234",0.132630013225688,-4890.65473682755
"resow_fer_area_percentage_i1234",0.207593240826993,-7654.88023330209
"labor_seed_fertilize_i1234",0.186476680842892,6876.21934350778
"NPK5105_baseline_i1234",0.0618412569715106,2280.36044770981
"NPK5105_applied_i1234",0.17144278483202,-6321.85315632032
"NPK5105_price_i1234",0.0419673794631625,1547.522752746
"N_baseline_i1234",0.0304468308840396,1122.70921236382
"N_applied_i1234",0.0406060549203059,1497.32470057094
"N_price_i1234",0.180537629438629,6657.22027100449
"K_baseline_i1234",0.358736830420571,13228.2123502877
"K_applied_i1234",0.0275728860520302,-1016.73416520665
"K_price_i1234",0.119601568941183,4410.23841774685
"rice_area_loss_severe_risks_i1234",1.22783894206879,45275.8481436011
"chance_refertilize_i1234",0.0639079385046469,-2356.56812939305
