"","VIP","Coefficient"
"discount_rate",2.33160262949422,-193903.987359779
"var_CV",0.0496272909311572,-4127.17393250782
"var_CV_high",0.0493973205188267,-4108.04881257461
"chance_inaccurate_forecast_i1",0.532940775143252,-44321.1634862949
"chance_inaccurate_forecast_i234",0.226915594559983,-18871.0709203654
"chance_inaccurate_forecast_extreme_cold_i1234",0.00284688810224488,-236.756875982828
"chance_inaccurate_forecast_extreme_drought_i1234",0.157358157477424,-13086.4383975581
"met_station_esta_i1",0.188774373982094,-15699.1175783733
"met_station_main_i1",0.00706676181083297,587.695894449894
"cost_forecasts_access_i1",0.0467145409304135,3884.93975753224
"cost_weekly_forecasts_i1234",0.0543995239276521,-4524.04902388263
"cost_seasonal_forecasts_i1234",0.0600303760766597,-4992.32979785088
"cost_cb_translation_staff_i1234",0.00629945704665326,523.884226281173
"cost_cb_commune_i1234",0.0163155621650861,-1356.85751929042
"leftlet_year1_i1234",0.270843514158784,22524.2657910862
"village_meeting_launch_i1234",0.18048988921273,-15010.1517101416
"video_i1234_peryear",0.111222898895421,-9249.67372601313
"cost_print_seasonal_bulletinA0_i1234",0.0214737678955147,-1785.83141308344
"cost_per_SMS_i123",0.142643834235214,-11862.7453411714
"messages_per_time_rice_i123",0.465150364860426,-38683.4829088602
"number_times_per_year_rice_i123",0.24268913938502,-20182.8524382291
"baseline_farm_households_i1234",0.237783508416025,19774.8835187524
"baseline_households_i1234",0.238686384577384,19849.9697643952
"household_increase_rate",0.312710836376518,26006.0943906089
"messages_per_time_animal_i123",0.100057890356547,-8321.15372556038
"number_times_per_year_animal_i123",0.0120087691526872,-998.689996542978
"percent_animal_households_i1234",0.0509119119767882,4234.00737824302
"allowance_village_leader_permonth_loud_i34",0.0165372740515572,1375.29583218645
"percent_short_distance_i4",0.0212893285323187,1770.49280971364
"model_training_i1234",0.0662011672452474,-5505.51373306252
"model_monitor_i1234",0.320969314899606,26692.8974911437
"field_visit_i1234",0.106894644680297,-8889.72141681479
"SAA_TOT",0.0837153033257695,6962.04872672553
"dialogue_village",0.0555571395225612,-4620.32026532115
"cost_community_event",0.0538921888855111,-4481.85732005022
"ME_district_i1234",0.0224771101667234,1869.27276137021
"ME_commune_i1234",0.0707147556320663,5880.8790609421
"rice_area_drought_i1234",0.522980034694827,43492.794507133
"chance_drought_i1234",0.586922963118338,48810.5054360614
"reduce_loss_drought_i1234",0.0143632671236848,1194.49803820142
"rice_profit_no_drought",0.0654281713300525,5441.22876946148
"seed_baseline_i1234",1.98242602495606,164865.275936047
"seed_applied_i1234",1.1642900584326,-96826.3124760697
"seed_advice_i1234",0.118001203725475,-9813.38055901352
"price_seed_i1234",0.424974576262019,35342.3279856284
"labor_pick_i1234",0.509508522052216,42372.4577978985
"rate_seed_inno_i1",0.752705204700682,62597.5192563503
"rate_seed_imitation_i1",0.42246716609479,35133.8032467977
"rate_seed_inno_i2",0.0772594581066467,6425.15872929187
"rate_seed_imitation_i2",0.0926181266754386,-7702.43772973291
"rate_seed_inno_i3",0.146484225490223,12182.1253109604
"rate_seed_imitation_i3",0.173698646464787,-14445.3689159825
"rate_seed_inno_i4",0.137442404306702,-11430.176776377
